# compound_verbs.tsv -- noun <TAB> light-verb infinitive. One row per two-token
# Persian compound verb, derived from the pinned wty-fa-en build (English
# Wiktionary via wiktionary-to-yomitan / kaikki.org), CC BY-SA 4.0. The second
# column is always an infinitive present in hazm's verbs.dat.
مخ	زدن
مختل	کردن
مخفی	کردن
مخلوط	کردن
مداخله	کردن
مدفوع	کردن
مدیریت	کردن
مراجعه	کردن
مرتکب	شدن
مرحمت	کردن
مرطوب	کردن
مسخره	کردن
مسلح	کردن
مسلط	شدن
مسلط	کردن
مشاهده	کردن
مصادره	کردن
مصرف	شدن
مصرف	کردن
مطرح	کردن
معرفی	کردن
معطل	کردن
مغلوب	کردن
مفقود	کردن
مقایسه	کردن
ملاقات	کردن
ممنوع	کردن
ممنون	بودن
مناقشه	کردن
منتشر	کردن
منتقل	شدن
منجر	شدن
منفجر	کردن
مهاجرت	کردن
مو	شکافتن
مواجه	شدن
موافقت	کردن
مونتاژ	کردن
میانجیگری	نمودن
میانجیگری	کردن
میده	کردن
میل	داشتن
میل	شدن
میل	کردن
نابود	کردن
نادیده	گرفتن
نام	بردن
ناپدید	شدن
نتیجه	گرفتن
نجات	دادن
نجوا	کردن
نزدیک	شدن
نسبت	دادن
نشان	دادن
نشانه	رفتن
نشر	کردن
نصب	شدن
نصب	کردن
نفرت	داشتن
نفس	کشیدن
نقش	بستن
نماز	خواندن
نهیب	زدن
نگار	کردن
نگاه	انداختن
نگاه	کردن
نگه	داشتن
نیاز	داشتن
هل	دادن
هلاک	شدن
هلاک	کردن
همدستی	کردن
همکاری	کردن
هم‌مرز	بودن
هنگ	کردن
هوس	کردن
هپولی	کردن
وادار	کردن
وارد	شدن
وارد	کردن
واز	شدن
واز	کردن
وانمود	کردن
واگذار	کردن
وجود	داشتن
ورانداز	کردن
ورزش	کردن
ورق	خوردن
ورم	کردن
وزن	کردن
وضع	کردن
ول	کردن
پا	شدن
پاسبانی	کردن
پافشاری	کردن
پاک	کردن
پایان	دادن
پخش	کردن
پدید	شدن
پدیدار	شدن
پر	کردن
پرت	کردن
پرتاب	کردن
پرتو	زدن
پرهیز	کردن
پرواز	کردن
پرورش	دادن
پرینت	گرفتن
پس	آمدن
پس	انداختن
پس	دادن
پس	گرفتن
پست	کردن
پشتیبانی	کردن
پشیمان	بودن
پشیمان	شدن
پف	کردن
پلک	زدن
پناه	بردن
پنهان	شدن
پنهان	کردن
پوزخند	زدن
پوشش	دادن
پژوهش	کردن
پی	بردن
پیاده	شدن
پیاده	کردن
پیدا	کردن
پیش	آمدن
پیش	رفتن
پیشرفت	کردن
پیشنهاد	کردن
پیشی	گرفتن
پیش‌بینی	کردن
چاقو	زدن
چاپ	کردن
چت	کردن
چرت	زدن
چروک	شدن
چشم‌پوشی	کردن
چمباتمه	زدن
چپ	شدن
چپ	کردن
چپه	شدن
چیره	شدن
ژاله	باریدن
ژست	گرفتن
کات	کردن
کار	داشتن
کار	کردن
کامل	کردن
کاهش	دادن
کاوش	کردن
کبود	شدن
کتمان	کردن
کتک	خوردن
کتک	زدن
کر	کردن
کرم	ریختن
کس	دادن
کس	لیسیدن
کس	کردن
کش	دادن
کشتی	گرفتن
کشف	کردن
کشیک	دادن
کف	کردن
کلان	شدن
کلنجار	رفتن
کلیک	کردن
کم	کردن
کمک	دادن
کمک	کردن
کنار	زدن
کنار	گذاشتن
کوتاه	آمدن
کور	شدن
کوشش	کردن
کون	دادن
کون	کردن
کوچ	کردن
کوچک	شدن
کوک	کردن
کپک	زدن
کپی	کردن
کیر	خوردن
کیسه	کردن
کیف	کردن
کینه	ورزیدن
گاز	گرفتن
گام	زدن
گذر	کردن
گرد	آوردن
گرد	کردن
گره	زدن
گریه	کردن
گزاف	گفتن
گسیل	کردن
گفته	شدن
گل	کردن
گله	کردن
گم	شدن
گم	کردن
گوز	دادن
گوش	دادن
گوش	کردن
گول	خوردن
گول	زدن
گپ	زدن
گیر	آمدن
گیر	انداختن
گیر	کردن
یاد	دادن
یاد	داشتن
یاد	رفتن
یاد	کردن
یاد	گرفتن
یادآور	شدن
یافت	شدن
یخ	بستن
یخ	زدن
یقین	داشتن
یله	کردن
