# colloquial.tsv -- informal <TAB> formal <TAB> source. Tehrani colloquial
# spellings and the formal word they stand for. Sources: hazm 0.12.1
# (iwords.dat and InformalNormalizer's direct table) and shekar 1.6.3
# (informal_words.csv), both MIT. Identity pairs and multi-word keys dropped;
# hazm wins a clash.
چونه	چانه	hazm
چکار	چیکار	hazm
چی	چه	hazm
چیزا	چیزها	hazm
چیه	چیست	hazm
ک	که	hazm
کا	کاه	hazm
کارخونه	کارخانه	hazm
کاشون	کاشان	shekar
کاملن	کاملاً	hazm
کتابا	کتاب‌ها	hazm
کتابخون	کتابخوان	hazm
کتابخونه	کتابخانه	hazm
کتابخونه‌	کتابخانه	hazm
کتاب‌خونی	کتاب‌خوانی	hazm
کدوم	کدام	hazm
کرمون	کرمان	shekar
کرمونی	کرمانی	shekar
کسایی	کسانی	hazm
کفتر	کبوتر	shekar
کلن	کلاً	hazm
کمون	کمان	shekar
کمونه	کمانه	shekar
کنه	کند	hazm
کهکشون	کهکشان	shekar
کوجا	کجا	hazm
کوجیک	کوچک	hazm
کوچیک	کوچک	hazm
کیلید	کلید	hazm
گردون	گردان	shekar
گرون	گران	hazm
گریون	گریان	shekar
گشنه	گرسنه	hazm
گلخونه	گلخانه	shekar
گلدون	گلدان	hazm
گمون	گمان	hazm
گوسفندچرون	گوسفندچران	shekar
گوله	گلوله	hazm
یبار	یکبار	hazm
یتیم‌خونه	یتیم‌خانه	shekar
یخبندون	یخ‌بندان	shekar
یخ‌بندون	یخ‌بندان	shekar
یقینن	یقیناً	hazm
ینواخت	یکنواخت	shekar
ینی	یعنی	hazm
یه	یک	hazm
یهو	یکهو	hazm
یهویی	یکهو	hazm
یه‌	یک	hazm
یه‌بار	یک‌بار	hazm
یه‌نواخت	یکنواخت	hazm
یوتوب	یوتیوب	hazm
‌رو	را	hazm
